"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"99",2,91,3,676.7,150.1,96.3,NA,154.4
"100",2,92,1,468.5,82.4,71.2,NA,NA
"101",2,92,2,437.1,84.3,73.5,76,NA
"102",2,92,3,492.7,80.1,68.1,NA,102.6
"103",2,93,1,537.4,99.7,68.6,NA,NA
"104",2,93,2,474,61.5,54.8,156.5,NA
"105",2,93,3,639.9,152.8,85.5,NA,123.8
"106",2,94,1,553.3,105.9,127.6,NA,NA
"107",2,94,2,489.2,106.2,88.6,114,NA
"108",2,94,3,754.5,105.4,297.7,NA,98.7
"109",2,95,1,890.8,294.8,210.4,NA,NA
"110",2,95,2,1295.7,411.1,255,90.4,NA
"111",2,95,3,610.5,215.2,151.9,NA,0
"112",2,96,1,598.2,116.3,86,NA,NA
"113",2,96,2,523.4,75.1,68.5,164.3,NA
"114",2,96,3,729.6,179.2,108.3,NA,131.8
"115",3,78,1,550.3,96.6,73.1,NA,NA
"116",3,78,2,482.1,72.3,60.3,131,NA
"117",3,78,3,661.5,132.9,89.6,NA,142.1
"118",3,79,1,528.8,108,72.6,NA,NA
"119",3,79,2,448.8,79.7,48.7,122,NA
"120",3,79,3,637,146.8,100.8,NA,126.8
"121",3,80,1,543.4,87.4,71.6,NA,NA
"122",3,80,2,478.8,65,63.3,123.9,NA
"123",3,80,3,653.3,119.4,83.8,NA,140.6
"124",3,81,1,527,111.3,77.1,NA,NA
"125",3,81,2,469.5,84.8,67.7,124,NA
"126",3,81,3,622.2,152.6,89,NA,95.3
"127",3,82,1,611.2,134.2,67.1,NA,NA
"128",3,82,2,520.1,90.1,49.5,126.8,NA
"129",3,82,3,722.9,187.3,87.5,NA,133.6
"130",3,83,1,566.2,89.8,72.1,NA,NA
"131",3,83,2,491.1,67.3,59.9,139.8,NA
"132",3,83,3,698,127,87.7,NA,164.7
"133",3,84,1,549.4,91.3,67.4,NA,NA
"134",3,84,2,460.9,59.2,54.4,129.8,NA
"135",3,84,3,682.6,136.1,83.5,NA,165
"136",3,85,1,610.3,121.3,73.7,NA,NA
"137",3,85,2,526.6,70,64.7,142.8,NA
"138",3,85,3,723.2,184.8,81.6,NA,127.7
"139",3,86,1,541.2,99,73.9,NA,NA
"140",3,86,2,463.5,70.3,65,119.5,NA
"141",3,86,3,664.7,140.8,85.9,NA,155.2
"142",3,87,1,552.4,96.9,77.4,NA,NA
"143",3,87,2,480.8,77,62.5,129.6,NA
"144",3,87,3,664,127.4,96,NA,151.8
"145",3,88,1,580.1,121.4,75.3,NA,NA
"146",3,88,2,495.3,89.6,61.8,135,NA
"147",3,88,3,706.2,166.3,90.2,NA,148
"148",3,89,1,546.5,93.2,71.6,NA,NA
"149",3,89,2,478.4,72.4,57.8,128.1,NA
"150",3,89,3,655.7,124,89.7,NA,134.5
"151",3,90,1,531.1,85.6,68.4,NA,NA
"152",3,90,2,478.7,66.5,56.9,128.8,NA
