"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"99",1,67,3,582.7,82.1,78.5,NA,171.6
"100",1,68,1,498.7,65,64.9,NA,NA
"101",1,68,2,441.2,52.4,54.1,127.3,NA
"102",1,68,3,582.7,82.1,78.5,NA,171.6
"103",1,69,1,542.4,57.7,72.8,NA,NA
"104",1,69,2,484.2,44.5,71.8,133.9,NA
"105",1,69,3,622.6,74.1,74,NA,214.5
"106",1,70,1,438.7,48.3,54.1,NA,NA
"107",1,70,2,386,35,44.9,112.7,NA
"108",1,70,3,513.7,65.6,65.9,NA,163
"109",1,71,1,509.3,60.1,63.9,NA,NA
"110",1,71,2,466.5,48.8,60.5,143.8,NA
"111",1,71,3,576.4,73,68.8,NA,189
"112",1,72,1,529.4,74.2,79.9,NA,NA
"113",1,72,2,484.3,62.6,71.4,133.8,NA
"114",1,72,3,600.3,91.2,90.7,NA,154.6
"115",1,73,1,543.7,93.9,73.6,NA,NA
"116",1,73,2,448.3,66.4,55.1,117.4,NA
"117",1,73,3,675.5,128.2,98.7,NA,168.7
"118",1,98,1,546.9,80.9,75.5,NA,NA
"119",1,98,2,499.8,74.8,66.5,138.2,NA
"120",1,98,3,612.6,90,87.8,NA,165.7
"121",1,102,1,541.8,75.7,66.5,NA,NA
"122",1,102,2,482.3,66.6,56.1,133.5,NA
"123",1,102,3,626.3,88.4,79.4,NA,187.9
"124",1,103,1,528.9,84.3,63.2,NA,NA
"125",1,103,2,473.4,69.9,55.7,134.8,NA
"126",1,103,3,607.8,103.9,72.1,NA,158.6
"127",1,105,1,529.2,65.7,70.8,NA,NA
"128",1,105,2,462.1,53.2,59.4,133,NA
"129",1,105,3,623,82.4,84.1,NA,193.2
"130",1,108,1,572.7,89.3,83.1,NA,NA
"131",1,108,2,488.7,72.8,66.8,120.5,NA
"132",1,108,3,684.6,109.6,102.8,NA,164
"133",1,112,1,565.3,81.1,75.3,NA,NA
"134",1,112,2,485.3,66.9,59.2,138.3,NA
"135",1,112,3,681,100.7,96.6,NA,221.7
"136",1,113,1,595.1,130.6,82.7,NA,NA
"137",1,113,2,473.3,82.9,64.1,127.7,NA
"138",1,113,3,747.4,192.1,105.7,NA,145.8
"139",1,114,1,466.4,56.3,58.8,NA,NA
"140",1,114,2,424.6,42.7,51.3,124.6,NA
"141",1,114,3,533.8,74.3,69.5,NA,139.5
"142",1,116,1,490.2,58.1,63.5,NA,NA
"143",1,116,2,424.2,46.3,53,122.1,NA
"144",1,116,3,582.9,71.2,77.3,NA,180.8
"145",1,117,1,487.9,57.8,64.6,NA,NA
"146",1,117,2,430.7,47.1,54.5,123.2,NA
"147",1,117,3,570.6,70.5,77.5,NA,179.2
"148",1,118,1,510.4,58.7,68,NA,NA
"149",1,118,2,472.2,50.6,60.9,133.6,NA
"150",1,118,3,571.4,68.9,76.2,NA,186.9
"151",1,120,1,520.6,77.5,65.9,NA,NA
"152",1,120,2,443.1,63.6,52.2,129.5,NA
