"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"98",2,111,2,433.8,74.2,47.1,109.7,NA
"99",2,111,3,585,92,72.8,NA,155.1
"100",2,115,1,444,57,55.4,NA,NA
"101",2,115,2,393.1,46.7,46,112.1,NA
"102",2,115,3,511.6,70.8,67,NA,135.8
"103",3,3,1,477.4,66.8,60.5,NA,NA
"104",3,3,2,421.6,59.3,50.1,119.3,NA
"105",3,3,3,550.7,77.2,72.6,NA,147.3
"106",3,8,1,524.4,75.4,68.5,NA,NA
"107",3,8,2,472.1,66.9,55.2,135.3,NA
"108",3,8,3,588.9,86,83.5,NA,145.3
"109",3,19,1,448.9,72.9,60.1,NA,NA
"110",3,19,2,424.5,67.7,42.2,138.9,NA
"111",3,19,3,484.8,82.8,78.3,NA,109.6
"112",3,26,1,495.7,73.1,61.5,NA,NA
"113",3,26,2,437.7,62.6,55.5,114.2,NA
"114",3,26,3,571.2,86.8,69.3,NA,152.8
"115",3,27,1,470.5,73.3,61.2,NA,NA
"116",3,27,2,411.8,63.8,49.8,114.2,NA
"117",3,27,3,554.9,86.9,76.1,NA,148.7
"118",3,28,1,465.4,59.7,56.8,NA,NA
"119",3,28,2,409.9,56.1,47,116.3,NA
"120",3,28,3,537.4,65.7,68.5,NA,158.4
"121",3,40,1,495.3,69.6,69.1,NA,NA
"122",3,40,2,453.9,56.6,64.3,115.3,NA
"123",3,40,3,552.3,87.1,74.5,NA,135.7
"124",3,53,1,470.5,52.5,57.8,NA,NA
"125",3,53,2,426,47.1,49.6,128.4,NA
"126",3,53,3,529,59.7,66.7,NA,149.3
"127",3,55,1,551.8,78.9,76.7,NA,NA
"128",3,55,2,470.7,74.8,68.4,119.3,NA
"129",3,55,3,648.7,85.5,86.2,NA,167
"130",3,58,1,464.3,74.7,65.9,NA,NA
"131",3,58,2,391.1,49.4,61.1,110.5,NA
"132",3,58,3,565.9,107.3,70.2,NA,158.1
"133",3,59,1,507.6,88.5,61.6,NA,NA
"134",3,59,2,438.2,84.6,45.3,120.9,NA
"135",3,59,3,587.1,94.9,78.7,NA,170
"136",3,61,1,527.6,69.2,83.9,NA,NA
"137",3,61,2,454.6,61,76.8,136.2,NA
"138",3,61,3,606.4,79.3,88.3,NA,166.4
"139",3,66,1,488,77,58.4,NA,NA
"140",3,66,2,428.6,71.8,43.9,118.7,NA
"141",3,66,3,560.9,83.7,75.3,NA,141.2
"142",3,99,1,420,55.3,57.7,NA,NA
"143",3,99,2,380.9,47.5,48.9,121.6,NA
