"","ï..REF_DATE","GEO","Sex","All.invasive.primary.cancer.sites..including.in.situ.bladder.","Bronchus.and.lung.cancer..C34.0.C34.9.","Colon..rectum.and.rectosigmoid.junction.cancer..C18.0.C18.9..C19.9..C20.9..C26.0.","Female.breast.cancer..C50.0.C50.9.","Prostate.cancer..C61.9."
"99",6,60,3,630.3,119.5,83,NA,123.8
"100",6,74,1,524.1,77,78,NA,NA
"101",6,74,2,485.8,68.8,64.4,117.6,NA
"102",6,74,3,581.8,89.6,94.4,NA,125
"103",6,107,1,459.4,63.3,58.6,NA,NA
"104",6,107,2,418.7,50.5,50.3,118.4,NA
"105",6,107,3,517.3,79.2,69.1,NA,109.8
"106",6,121,1,545.4,76.3,72,NA,NA
"107",6,121,2,491.8,67.3,58.3,138,NA
"108",6,121,3,629.9,90.4,89.8,NA,155.3
"109",7,37,1,531.7,77.9,80.4,NA,NA
"110",7,37,2,456.6,65.5,62.8,125.6,NA
"111",7,37,3,619.2,93.7,99.5,NA,152.8
"112",7,45,1,536.5,76.8,73.7,NA,NA
"113",7,45,2,488.9,68.3,59.3,131.1,NA
"114",7,45,3,607,90.2,91.4,NA,141
"115",7,60,1,573.2,106.1,97.9,NA,NA
"116",7,60,2,509.6,83.3,99.4,105.3,NA
"117",7,60,3,648,134.1,98.6,NA,138.5
"118",7,74,1,529.3,78.3,81.2,NA,NA
"119",7,74,2,495.7,77.6,63.3,114.7,NA
"120",7,74,3,581.8,82.5,102.1,NA,118.2
"121",7,107,1,476.5,62.8,58.8,NA,NA
"122",7,107,2,437.4,49,48.3,131.3,NA
"123",7,107,3,530.9,79.6,72,NA,124.2
"124",7,121,1,551.7,78.3,72.7,NA,NA
"125",7,121,2,503.8,69.9,58.3,136.8,NA
"126",7,121,3,628.6,92.7,90.9,NA,149.8
"127",8,37,1,520,73.8,77.7,NA,NA
"128",8,37,2,469.9,69.2,64,126.9,NA
"129",8,37,3,583.9,82.5,93.5,NA,143.5
"130",8,45,1,535,76.1,73.6,NA,NA
"131",8,45,2,493.6,70.5,60.2,131.1,NA
"132",8,45,3,597.5,85.6,89.7,NA,137.3
"133",8,60,1,579.8,122.8,89.1,NA,NA
